"","ile","czestosc"
"library",667,0.0146732076
"c",664,0.0146072112
"length",407,0.0089535165
"names",370,0.0081395605
"list",369,0.0081175617
"return",359,0.0078975735
"data.frame",330,0.007259608
"paste",329,0.0072376092
"nrow",304,0.0066876389
"as.numeric",279,0.0061376686
"paste0",278,0.0061156698
"is.na",276,0.0060716721
"as.character",273,0.0060056757
"aes",268,0.0058956816
"sum",264,0.0058076864
"ggplot",260,0.0057196911
"print",258,0.0056756935
"rep",256,0.0056316959
"seq",219,0.0048177398
"max",215,0.0047297446
"lapply",210,0.0046197505
"source",209,0.0045977517
"plot",207,0.0045537541
"read.csv",207,0.0045537541
"is.null",205,0.0045097565
"sapply",205,0.0045097565
"gsub",201,0.0044217612
"unique",201,0.0044217612
"ifelse",190,0.0041797743
"mean",188,0.0041357767
"rbind",187,0.0041137779
"cbind",185,0.0040697802
"min",181,0.003981785
"which",173,0.0038057945
"geom_point",170,0.0037397981
"factor",168,0.0036958004
"sample",166,0.0036518028
"stop",162,0.0035638076
"unlist",161,0.0035418087
"head",160,0.0035198099
"cat",156,0.0034318147
"mutate",155,0.0034098159
"filter",151,0.0033218206
"matrix",151,0.0033218206
"as.data.frame",150,0.0032998218
"set.seed",148,0.0032558242
"summary",147,0.0032338254
"save",143,0.0031458301
"ncol",142,0.0031238313
"load",141,0.0031018325
"t",141,0.0031018325
"require",137,0.0030138373
"colnames",136,0.0029918384
"round",136,0.0029918384
"group_by",135,0.0029698396
"order",132,0.0029038432
"theme",132,0.0029038432
"theme_bw",132,0.0029038432
"rownames",129,0.0028378468
"select",128,0.0028158479
"table",126,0.0027718503
"dev.off",123,0.0027058539
"sort",123,0.0027058539
"apply",122,0.0026838551
"grep",122,0.0026838551
"subset",121,0.0026618563
"as.matrix",119,0.0026178586
"strsplit",117,0.002573861
"geom_line",116,0.0025518622
"par",113,0.0024858658
"shinyServer",113,0.0024858658
"grepl",112,0.002463867
"predict",112,0.002463867
"sprintf",112,0.002463867
"merge",110,0.0024198693
"ylab",109,0.0023978705
"fluidPage",108,0.0023758717
"shinyUI",108,0.0023758717
"write.csv",107,0.0023538729
"file.exists",106,0.0023318741
"message",106,0.0023318741
"as.Date",104,0.0022878765
"sqrt",104,0.0022878765
"ggsave",102,0.0022438788
"log",101,0.00222188
"xlab",101,0.00222188
"as.factor",100,0.0021998812
"class",99,0.0021778824
"do.call",99,0.0021778824
"reactive",99,0.0021778824
"rm",97,0.0021338848
"rnorm",97,0.0021338848
"all",96,0.002111886
"dim",95,0.0020898871
"file.path",95,0.0020898871
"element_text",94,0.0020678883
"options",94,0.0020678883
"abs",93,0.0020458895
"ggtitle",91,0.0020018919
"setwd",90,0.0019798931
"range",89,0.0019578943
"mainPanel",87,0.0019138966
"with",87,0.0019138966
"data",86,0.0018918978
"scale_y_continuous",85,0.001869899
"exp",84,0.0018479002
"as.integer",83,0.0018259014
"facet_wrap",83,0.0018259014
"selectInput",82,0.0018039026
"readLines",81,0.0017819038
"sidebarPanel",81,0.0017819038
"arrange",79,0.0017379062
"diff",79,0.0017379062
"pdf",78,0.0017159073
"list.files",75,0.0016499109
"plotOutput",75,0.0016499109
"points",75,0.0016499109
"vector",75,0.0016499109
"ls",73,0.0016059133
"renderPlot",73,0.0016059133
"runif",73,0.0016059133
"levels",72,0.0015839145
"quantile",72,0.0015839145
"titlePanel",72,0.0015839145
"read.table",71,0.0015619157
"tolower",71,0.0015619157
"any",70,0.0015399168
"element_blank",70,0.0015399168
"scale_x_continuous",70,0.0015399168
"geom_text",69,0.001517918
"labs",69,0.001517918
"lm",68,0.0014959192
"summarise",68,0.0014959192
"format",67,0.0014739204
"melt",66,0.0014519216
"sliderInput",66,0.0014519216
"system",66,0.0014519216
"as.list",65,0.0014299228
"column",65,0.0014299228
"invisible",65,0.0014299228
"legend",65,0.0014299228
"fluidRow",64,0.001407924
"write.table",64,0.001407924
"lines",63,0.0013859252
"match",63,0.0013859252
"setdiff",62,0.0013639263
"sub",62,0.0013639263
"text",62,0.0013639263
"abline",61,0.0013419275
"dir.create",61,0.0013419275
"read_csv",61,0.0013419275
"readRDS",61,0.0013419275
"Sys.time",61,0.0013419275
"textInput",61,0.0013419275
"hist",60,0.0013199287
".",59,0.0012979299
"median",59,0.0012979299
"seq_along",59,0.0012979299
"sidebarLayout",59,0.0012979299
"fromJSON",58,0.0012759311
"rename",58,0.0012759311
"rowSums",58,0.0012759311
"ddply",57,0.0012539323
"geom_smooth",57,0.0012539323
"install.packages",57,0.0012539323
"map",57,0.0012539323
"as.vector",56,0.0012319335
"n",56,0.0012319335
"nchar",56,0.0012319335
"scale_fill_manual",56,0.0012319335
"brewer.pal",55,0.0012099347
"ceiling",55,0.0012099347
"geom_bar",55,0.0012099347
"new",55,0.0012099347
"left_join",54,0.0011879359
"reorder",54,0.0011879359
"rev",54,0.0011879359
"substr",54,0.0011879359
"tail",54,0.0011879359
"dbConnect",53,0.001165937
"png",53,0.001165937
"cor",52,0.0011439382
"duplicated",52,0.0011439382
"str",51,0.0011219394
"try",51,0.0011219394
"attr",50,0.0010999406
"colSums",50,0.0010999406
"cumsum",50,0.0010999406
"expression",50,0.0010999406
"floor",50,0.0010999406
"tryCatch",50,0.0010999406
"diag",49,0.0010779418
"dir",49,0.0010779418
"get",49,0.0010779418
"actionButton",48,0.001055943
"renderText",48,0.001055943
"stopifnot",48,0.001055943
"dataTableOutput",47,0.0010339442
"expand.grid",47,0.0010339442
"icon",47,0.0010339442
"sd",47,0.0010339442
"close",46,0.0010119454
"facet_grid",46,0.0010119454
"gather",46,0.0010119454
