"","ile","czestosc"
"ggplot2",162,0.0681244743
"dplyr",113,0.0475189235
"shiny",95,0.0399495374
"stringr",66,0.0277544155
"lubridate",60,0.0252312868
"scales",47,0.019764508
"plyr",44,0.0185029437
"readr",35,0.0147182506
"data.table",34,0.0142977292
"tidyr",32,0.0134566863
"tidyverse",32,0.0134566863
"reshape2",29,0.012195122
"caret",25,0.0105130362
"RColorBrewer",25,0.0105130362
"gridExtra",24,0.0100925147
"jsonlite",23,0.0096719933
"ggmap",20,0.0084104289
"magrittr",20,0.0084104289
"reshape",20,0.0084104289
"grid",17,0.0071488646
"httr",17,0.0071488646
"knitr",17,0.0071488646
"XML",17,0.0071488646
"purrr",16,0.0067283431
"rgdal",16,0.0067283431
"testthat",16,0.0067283431
"xgboost",16,0.0067283431
"xtable",16,0.0067283431
"maptools",15,0.0063078217
"leaflet",14,0.0058873003
"parallel",14,0.0058873003
"RCurl",14,0.0058873003
"shinydashboard",14,0.0058873003
"viridis",14,0.0058873003
"devtools",13,0.0054667788
"MASS",13,0.0054667788
"zoo",13,0.0054667788
"igraph",12,0.0050462574
"sp",12,0.0050462574
"broman",11,0.0046257359
"foreign",11,0.0046257359
"maps",11,0.0046257359
"rvest",11,0.0046257359
"animation",10,0.0042052145
"car",10,0.0042052145
"h2o",10,0.0042052145
"qtl",10,0.0042052145
"randomForest",10,0.0042052145
"directlabels",9,0.003784693
"DT",9,0.003784693
"Matrix",9,0.003784693
"readxl",9,0.003784693
"RMySQL",9,0.003784693
"countrycode",8,0.0033641716
"markdown",8,0.0033641716
"rpart",8,0.0033641716
"RSQLite",8,0.0033641716
"datasets",7,0.0029436501
"DESeq2",7,0.0029436501
"digest",7,0.0029436501
"extrafont",7,0.0029436501
"gdata",7,0.0029436501
"ggrepel",7,0.0029436501
"Hmisc",7,0.0029436501
"qtl2",7,0.0029436501
"raster",7,0.0029436501
"rio",7,0.0029436501
"RJSONIO",7,0.0029436501
"ROCR",7,0.0029436501
"shinyjs",7,0.0029436501
"tmap",7,0.0029436501
"arm",6,0.0025231287
"Cairo",6,0.0025231287
