"","ile","czestosc"
"methods",244,0.61
"stats",172,0.43
"utils",146,0.37
"Biobase",114,0.29
"graphics",107,0.27
"GenomicRanges",99,0.25
"IRanges",98,0.25
"S4Vectors",95,0.24
"grDevices",86,0.22
"BiocGenerics",82,0.21
"ggplot2",72,0.18
"limma",53,0.13
"GenomeInfoDb",47,0.12
"parallel",46,0.12
"AnnotationDbi",43,0.11
"Rsamtools",43,0.11
"SummarizedExperiment",43,0.11
"Biostrings",42,0.11
"Rcpp",39,0.1
"RColorBrewer",36,0.09
"BiocParallel",35,0.09
"grid",32,0.08
"reshape2",30,0.08
"rtracklayer",30,0.08
"plyr",28,0.07
"data.table",27,0.07
"matrixStats",27,0.07
"dplyr",25,0.06
"GenomicAlignments",24,0.06
"Matrix",24,0.06
"stringr",23,0.06
"gplots",22,0.06
"graph",22,0.06
"lattice",22,0.06
"affy",21,0.05
"foreach",21,0.05
"edgeR",19,0.05
"GenomicFeatures",19,0.05
"DBI",18,0.05
"igraph",18,0.05
"MASS",18,0.05
"RCurl",17,0.04
"tools",17,0.04
"gtools",16,0.04
"XML",16,0.04
"biomaRt",15,0.04
"cluster",15,0.04
"doParallel",15,0.04
"locfit",15,0.04
"DNAcopy",14,0.04
"shiny",14,0.04
"BSgenome",13,0.03
"genefilter",13,0.03
"gridExtra",13,0.03
"RBGL",13,0.03
"DESeq2",12,0.03
"e1071",12,0.03
"jsonlite",12,0.03
"knitr",12,0.03
"RSQLite",12,0.03
"scales",12,0.03
"tidyr",12,0.03
"mvtnorm",11,0.03
"R(>=",11,0.03
"rmarkdown",11,0.03
"DT",10,0.03
"magrittr",10,0.03
"VariantAnnotation",10,0.03
"BiocInstaller",9,0.02
"httr",9,0.02
"multtest",9,0.02
"GSEABase",8,0.02
"Gviz",8,0.02
"Hmisc",8,0.02
"preprocessCore",8,0.02
"R.utils",8,0.02
"Rgraphviz",8,0.02
"ShortRead",8,0.02
"stats4",8,0.02
"survival",8,0.02
"sva",8,0.02
"xtable",8,0.02
"annotate",7,0.02
"mclust",7,0.02
"org.Hs.eg.db",7,0.02
"qvalue",7,0.02
"splines",7,0.02
"XVector",7,0.02
"zlibbioc",7,0.02
"BiocStyle",6,0.02
"circlize",6,0.02
"DelayedArray",6,0.02
"ggrepel",6,0.02
"GO.db",6,0.02
"KernSmooth",6,0.02
"randomForest",6,0.02
"seqinr",6,0.02
