"","ile","czestosc"
"return",340,0.86
"length",330,0.83
"stop",320,0.81
"paste",286,0.72
"c",285,0.72
"which",266,0.67
"sum",263,0.66
"rep",261,0.66
"list",256,0.64
"names",254,0.64
"unlist",249,0.63
"nrow",247,0.62
"unique",247,0.62
"rownames",233,0.59
"is.null",227,0.57
"t",197,0.5
"ncol",193,0.49
"is.na",191,0.48
"sapply",187,0.47
"setMethod",182,0.46
"matrix",177,0.45
"warning",176,0.44
"plot",175,0.44
"seq",163,0.41
"colnames",159,0.4
"max",153,0.39
"order",144,0.36
"min",140,0.35
"par",138,0.35
"lapply",137,0.35
"strsplit",133,0.34
"intersect",132,0.33
"round",132,0.33
"sort",129,0.32
"new",125,0.31
"table",119,0.3
"data.frame",117,0.29
"print",114,0.29
"setdiff",114,0.29
"vector",114,0.29
"message",112,0.28
"rbind",112,0.28
"sqrt",111,0.28
"is",105,0.26
"setGeneric",104,0.26
"as.character",101,0.25
"cat",99,0.25
"paste0",99,0.25
"signature",99,0.25
"cbind",96,0.24
"split",96,0.24
"missing",94,0.24
"seq_len",93,0.23
"apply",89,0.22
"text",87,0.22
"lines",85,0.21
"seq_along",85,0.21
"setClass",83,0.21
"stopifnot",83,0.21
"rowSums",81,0.2
"switch",81,0.2
"write.table",81,0.2
"as.numeric",80,0.2
"dev.off",80,0.2
"dim",78,0.2
"legend",78,0.2
"match",77,0.19
"mean",77,0.19
"standardGeneric",77,0.19
"abline",76,0.19
"class",76,0.19
"read.table",76,0.19
"ifelse",75,0.19
"points",74,0.19
"sample",73,0.18
"quantile",72,0.18
"start",70,0.18
"substr",70,0.18
"do.call",69,0.17
"match.arg",69,0.17
"median",69,0.17
"any",68,0.17
"sprintf",68,0.17
"gsub",66,0.17
"suppressWarnings",65,0.16
"as",62,0.16
"as.integer",62,0.16
"abs",61,0.15
"sub",61,0.15
"as.matrix",60,0.15
"nchar",60,0.15
"end",59,0.15
"rev",59,0.15
"which.max",59,0.15
"log",58,0.15
"pdf",58,0.15
"axis",57,0.14
"seqnames",57,0.14
"tryCatch",57,0.14
"try",56,0.14
"representation",55,0.14
"grep",53,0.13
"invisible",53,0.13
"IRanges",52,0.13
"rowMeans",52,0.13
"range",51,0.13
"rm",51,0.13
"union",51,0.13
"all",50,0.13
"as.data.frame",50,0.13
"head",50,0.13
"as.vector",49,0.12
"is.numeric",49,0.12
"factor",47,0.12
"system.file",47,0.12
"width",47,0.12
"floor",46,0.12
"file.exists",45,0.11
"file.path",45,0.11
"sd",45,0.11
"ggplot",44,0.11
"p.adjust",44,0.11
"rainbow",44,0.11
"rgb",44,0.11
"setReplaceMethod",44,0.11
"tail",44,0.11
"theme",44,0.11
"tolower",44,0.11
"require",43,0.11
".Call",42,0.11
"cor",42,0.11
"mtext",42,0.11
"options",42,0.11
"predict",42,0.11
"tapply",42,0.11
"GRanges",41,0.1
"mcols",41,0.1
"pData",41,0.1
"row.names",41,0.1
"runif",41,0.1
"which.min",41,0.1
"colorRampPalette",40,0.1
"is.character",40,0.1
"is.matrix",40,0.1
"title",40,0.1
"hist",39,0.1
"strand",39,0.1
"ceiling",38,0.1
"hclust",38,0.1
"slot",38,0.1
"lm",37,0.09
"readLines",37,0.09
"subset",37,0.09
"brewer.pal",36,0.09
"levels",36,0.09
"rect",36,0.09
"sampleNames",36,0.09
"summary",36,0.09
"xlab",36,0.09
"ylab",36,0.09
"new.env",35,0.09
"on.exit",35,0.09
"unname",35,0.09
"na.omit",34,0.09
"substitute",34,0.09
"data",33,0.08
"duplicated",33,0.08
"pmax",33,0.08
"Sys.time",33,0.08
"dir.create",32,0.08
"exprs",32,0.08
"segments",32,0.08
"log2",31,0.08
"png",31,0.08
"select",31,0.08
"vapply",31,0.08
"exp",30,0.08
"get",30,0.08
"numeric",30,0.08
"unlink",30,0.08
"is.data.frame",29,0.07
"setValidity",29,0.07
"var",29,0.07
"dist",28,0.07
"set.seed",28,0.07
"writeLines",28,0.07
"labs",27,0.07
"layout",27,0.07
"pnorm",27,0.07
"ranges",27,0.07
"sign",27,0.07
"unit",27,0.07
"character",26,0.07
"identical",26,0.07
"packageStartupMessage",26,0.07
"pmin",26,0.07
"rnorm",26,0.07
"seqlevels",26,0.07
"as.factor",25,0.06
"cumsum",25,0.06
"log10",25,0.06
"density",24,0.06
"geom_point",24,0.06
"ggtitle",24,0.06
"grepl",24,0.06
"inherits",24,0.06
"is.list",24,0.06
"is.vector",24,0.06
"setNames",24,0.06
"validObject",24,0.06
"with",24,0.06
"is.logical",23,0.06
"polygon",23,0.06
"seqlengths",23,0.06
"theme_bw",23,0.06
"toupper",23,0.06
"barplot",22,0.06
"mapply",22,0.06
"model.matrix",22,0.06
"packageDescription",22,0.06
"save",22,0.06
"slotNames",22,0.06
"substring",22,0.06
"sweep",22,0.06
"tempfile",22,0.06
"close",21,0.05
"diag",21,0.05
"exists",21,0.05
"getOption",21,0.05
"getwd",21,0.05
"image",21,0.05
"integer",21,0.05
"qnorm",21,0.05
"reduce",21,0.05
"show",21,0.05
"signif",21,0.05
"txtProgressBar",21,0.05
"as.list",20,0.05
"attr",20,0.05
"boxplot",20,0.05
"melt",20,0.05
"read.delim",20,0.05
"setTxtProgressBar",20,0.05
"setwd",20,0.05
"subjectHits",20,0.05
"system",20,0.05
"capture.output",19,0.05
"dimnames",19,0.05
"merge",19,0.05
"plot.new",19,0.05
"queryHits",19,0.05
"Rle",19,0.05
"scale",19,0.05
"as.double",18,0.05
"diff",18,0.05
"element_text",18,0.05
"file",18,0.05
"findOverlaps",18,0.05
"packageVersion",18,0.05
"scan",18,0.05
"ScanBamParam",18,0.05
"write",18,0.05
"colSums",17,0.04
"combn",17,0.04
"loess",17,0.04
"prod",17,0.04
"rank",17,0.04
"seqinfo",17,0.04
"setAs",17,0.04
"shift",17,0.04
"as.dist",16,0.04
"download.file",16,0.04
"eval",16,0.04
"format",16,0.04
"is.factor",16,0.04
"isTRUE",16,0.04
"pchisq",16,0.04
"setequal",16,0.04
"structure",16,0.04
"strwrap",16,0.04
"tempdir",16,0.04
"box",15,0.04
"callNextMethod",15,0.04
"col2rgb",15,0.04
"cut",15,0.04
"DataFrame",15,0.04
"featureNames",15,0.04
"filter",15,0.04
"globalVariables",15,0.04
"interactive",15,0.04
"is.finite",15,0.04
"ls",15,0.04
"mad",15,0.04
"match.call",15,0.04
"phenoData",15,0.04
"Reduce",15,0.04
"requireNamespace",15,0.04
"scale_y_continuous",15,0.04
"suppressMessages",15,0.04
"Sys.getenv",15,0.04
"viewport",15,0.04
"assign",14,0.04
"list.files",14,0.04
"pushViewport",14,0.04
"read.csv",14,0.04
"scale_fill_manual",14,0.04
"scanBamFlag",14,0.04
"setOldClass",14,0.04
"stopCluster",14,0.04
"toString",14,0.04
"upper.tri",14,0.04
"array",13,0.03
"dnorm",13,0.03
"geom_line",13,0.03
"GRangesList",13,0.03
"guides",13,0.03
"is.element",13,0.03
"is.infinite",13,0.03
"matplot",13,0.03
"mclapply",13,0.03
"nlevels",13,0.03
"order.dendrogram",13,0.03
"parse",13,0.03
"prcomp",13,0.03
"rbinom",13,0.03
"rep.int",13,0.03
"sQuote",13,0.03
"typeof",13,0.03
"values",13,0.03
"aes",12,0.03
"basename",12,0.03
"emptyenv",12,0.03
"gc",12,0.03
"heat.colors",12,0.03
"jpeg",12,0.03
"load",12,0.03
"metadata",12,0.03
"mutate",12,0.03
"parent.frame",12,0.03
"pt",12,0.03
"rgamma",12,0.03
"solve",12,0.03
"t.test",12,0.03
"unclass",12,0.03
"append",11,0.03
"as.formula",11,0.03
"browseURL",11,0.03
"colMeans",11,0.03
"cutree",11,0.03
"detectCores",11,0.03
"library.dynam.unload",11,0.03
"logical",11,0.03
"outer",11,0.03
"pmatch",11,0.03
"scale_colour_manual",11,0.03
"scale_x_continuous",11,0.03
"Sys.info",11,0.03
"addVigs2WinMenu",10,0.03
"aes_string",10,0.03
"approx",10,0.03
"as.logical",10,0.03
"colors",10,0.03
"combine",10,0.03
"expand.grid",10,0.03
"featureData",10,0.03
"file_ext",10,0.03
"geom_bar",10,0.03
"gpar",10,0.03
"group_by",10,0.03
"lower.tri",10,0.03
"mget",10,0.03
"optim",10,0.03
"readGAlignments",10,0.03
"regexpr",10,0.03
"rowRanges",10,0.03
"runValue",10,0.03
"scale_x_discrete",10,0.03
"selectInput",10,0.03
"setClassUnion",10,0.03
"smooth.spline",10,0.03
"V",10,0.03
"Views",10,0.03
".C",9,0.02
"aggregate",9,0.02
"all.equal",9,0.02
"coef",9,0.02
"colData",9,0.02
"date",9,0.02
"deparse",9,0.02
"dev.new",9,0.02
"f",9,0.02
"file.remove",9,0.02
"foreach",9,0.02
"glm",9,0.02
"I",9,0.02
"is.function",9,0.02
"is.integer",9,0.02
"kmeans",9,0.02
"library",9,0.02
"mode",9,0.02
"path",9,0.02
"postscript",9,0.02
"replicate",9,0.02
"scale_color_manual",9,0.02
"subsetByOverlaps",9,0.02
"SummarizedExperiment",9,0.02
"svd",9,0.02
"transcripts",9,0.02
