"autor","funkcja"
"Willem Talloen","options"
"Willem Talloen","packageStartupMessage"
"Willem Talloen","paste"
"Willem Talloen","packageDescription"
"Willem Talloen","convertHeight"
"Willem Talloen","current.viewport"
"Willem Talloen","c"
"Willem Talloen","ifelse"
"Willem Talloen","is.null"
"Willem Talloen","is.numeric"
"Willem Talloen","length"
"Willem Talloen","log10"
"Willem Talloen","is"
"Willem Talloen","t.test"
"Willem Talloen","return"
"Willem Talloen","dataViewport"
"Willem Talloen","editGrob"
"Willem Talloen","gEdit"
"Willem Talloen","gEditList"
"Willem Talloen","gpar"
"Willem Talloen","max"
"Willem Talloen","names"
"Willem Talloen","order"
"Willem Talloen","range"
"Willem Talloen","rep"
"Willem Talloen","seq"
"Willem Talloen","signif"
"Willem Talloen","standardGeneric"
"Willem Talloen","stop"
"Willem Talloen","which"
"Willem Talloen","levels"
"Willem Talloen","list"
"Willem Talloen","mean"
"Willem Talloen","ncol"
"Willem Talloen","nlevels"
"Willem Talloen","nrow"
"Willem Talloen","rownames"
"Willem Talloen","t"
"Willem Talloen","setGeneric"
"Willem Talloen","setMethod"
"Willem Talloen","grid.draw"
"Willem Talloen","grid.newpage"
"Willem Talloen","grid.points"
"Willem Talloen","grid.pretty"
"Willem Talloen","grid.text"
"Willem Talloen","grid.yaxis"
"Willem Talloen","grobWidth"
"Willem Talloen","plotViewport"
"Willem Talloen","pushViewport"
"Willem Talloen","textGrob"
"Willem Talloen","unit"
"Willem Talloen","volcanoplotter"
"Willem Talloen","xaxisGrob"
"Willem Talloen","package.version"
"Willem Talloen","pData"
"Willem Talloen","popViewport"
"Willem Talloen","viewport"
"Willem Talloen","splitTitle"
"Willem Talloen","unit.c"
"Willem Talloen","table"
"Willem Talloen","warning"
"Willem Talloen","round"
"Willem Talloen","sapply"
"Willem Talloen","stopifnot"
"Willem Talloen","strsplit"
"Willem Talloen","substr"
"Willem Talloen","substring"
"Willem Talloen","sum"
"Willem Talloen","tolower"
"Willem Talloen","try"
"Willem Talloen","unique"
"Willem Talloen","unlist"
"Willem Talloen","vector"
"Willem Talloen","hcl"
"Willem Talloen","rainbow"
"Willem Talloen","cor"
"Willem Talloen","cor.test"
"Willem Talloen","symnum"
"Willem Talloen","hclust"
"Willem Talloen","order.dendrogram"
"Willem Talloen","reorder"
"Willem Talloen","legend"
"Willem Talloen","par"
"Willem Talloen","lines"
"Willem Talloen","matplot"
"Willem Talloen","mtext"
"Willem Talloen","plot"
"Willem Talloen","points"
"Willem Talloen","text"
"Willem Talloen","rect"
"Willem Talloen","title"
"Willem Talloen","densCols"
"Willem Talloen","rgb"
"Willem Talloen","png"
"Willem Talloen","x11"
"Willem Talloen","signature"
"Willem Talloen","union"
"Willem Talloen","exprs"
"Willem Talloen","featureData"
"Willem Talloen","invisible"
"Willem Talloen","rank"
"Willem Talloen","featureNames"
"Willem Talloen","performance"
"Willem Talloen","prediction"
"Willem Talloen","pamr.train"
"Willem Talloen","rev"
"Willem Talloen","row.names"
"Willem Talloen","min"
"Willem Talloen","print"
"Willem Talloen","sqrt"
"Willem Talloen","trunc"
"Willem Talloen","setOldClass"
"Willem Talloen","axis"
"Willem Talloen","segments"
"Willem Talloen","abs"
"Willem Talloen","cat"
"Willem Talloen","cbind.data.frame"
"Willem Talloen","class"
"Willem Talloen","colnames"
"Willem Talloen","new"
"Willem Talloen","coef"
"Willem Talloen","UseMethod"
"Willem Talloen","summary"
"Willem Talloen","glmnetUtil"
"Willem Talloen","eval"
"Willem Talloen","annotation"
"Willem Talloen","mget"
"Willem Talloen","parse"
"Willem Talloen","require"
"Willem Talloen","fvarMetadata"
"Tobias Verbeke","all"
"Tobias Verbeke","all.equal"
"Tobias Verbeke","any"
"Tobias Verbeke","xtable"
"Tobias Verbeke","xtable.data.frame"
"Tobias Verbeke","apply"
"Tobias Verbeke","as.character"
"Tobias Verbeke","as.data.frame"
"Tobias Verbeke","as.numeric"
"Tobias Verbeke","c"
"Tobias Verbeke","cat"
"Tobias Verbeke","xtable.matrix"
"Tobias Verbeke","character"
"Tobias Verbeke","class"
"Tobias Verbeke","colnames"
"Tobias Verbeke","data.frame"
"Tobias Verbeke","dim"
"Tobias Verbeke","grep"
"Tobias Verbeke","gsub"
"Tobias Verbeke","is.na"
"Tobias Verbeke","is.null"
"Tobias Verbeke","length"
"Tobias Verbeke","list"
"Tobias Verbeke","matrix"
"Tobias Verbeke","names"
"Tobias Verbeke","ncol"
"Tobias Verbeke","NextMethod"
"Tobias Verbeke","nrow"
"Tobias Verbeke","paste"
"Tobias Verbeke","print"
"Tobias Verbeke","prod"
"Tobias Verbeke","return"
"Tobias Verbeke","sapply"
"Tobias Verbeke","seq"
"Tobias Verbeke","stop"
"Tobias Verbeke","switch"
"Tobias Verbeke","unlist"
"Tobias Verbeke","warning"
"Tobias Verbeke","which"
"Tobias Verbeke","new"
"Tobias Verbeke","representation"
"Tobias Verbeke","setClass"
"Tobias Verbeke","setGeneric"
"Tobias Verbeke","setMethod"
"Tobias Verbeke","setValidity"
"Tobias Verbeke","signature"
"Steffi Grote","as.data.frame"
"Steffi Grote","as.factor"
"Steffi Grote","c"
"Steffi Grote","data"
"Steffi Grote","get_expression"
"Steffi Grote","get_name"
"Steffi Grote","colnames"
"Steffi Grote","data.frame"
"Steffi Grote","list"
"Steffi Grote","match"
"Steffi Grote","merge"
"Steffi Grote","nrow"
"Steffi Grote","aggregate"
"Steffi Grote","heatmap.2"
"Steffi Grote","get_signi_combis"
"Steffi Grote","load_by_name"
"Steffi Grote","mixedorder"
"Steffi Grote","get_genes_from_regions"
"Steffi Grote","order"
"Steffi Grote","paste"
"Steffi Grote","return"
"Steffi Grote","rownames"
"Steffi Grote","table"
"Steffi Grote","unique"
"Steffi Grote","rep"
"Steffi Grote","rev"
"Steffi Grote","round"
"Steffi Grote","sapply"
"Steffi Grote","stop"
"Steffi Grote","strsplit"
"Steffi Grote","warning"
"Steffi Grote","xor"
"Steffi Grote","ncol"
"Steffi Grote","row.names"
"Steffi Grote","seq_len"
"Steffi Grote","sort"
"Steffi Grote","hyper_category_test"
"Steffi Grote","hyper_randset"
"Steffi Grote","rearrange_output"
"Steffi Grote","unlock_environment"
"Steffi Grote","wilcox_category_test"
"Steffi Grote","wilcox_randset"
"Steffi Grote","substr"
"Steffi Grote","sum"
"Steffi Grote","tapply"
"Steffi Grote","unlist"
"Steffi Grote","vector"
"Steffi Grote","tempfile"
"Steffi Grote","unlockBinding"
"Steffi Grote","unname"
"Steffi Grote","heat.colors"
"Steffi Grote","rainbow"
"Steffi Grote","read.table"
"Steffi Grote","write.table"
"Yongming Andrew","apply"
"Yongming Andrew","colnames"
"Yongming Andrew","dim"
"Yongming Andrew","flush.console"
"Yongming Andrew","assayDataElement"
"Yongming Andrew","pData"
"Yongming Andrew","factor"
"Yongming Andrew","length"
"Yongming Andrew","levels"
"Yongming Andrew","matrix"
"Yongming Andrew","missing"
"Yongming Andrew","return"
"Yongming Andrew","is"
"Yongming Andrew","cor"
"Yongming Andrew","featureNames"
"Yongming Andrew","getMemberEset"
"Yongming Andrew","hclusterPlot"
"Yongming Andrew","mt.rawp2adjp"
"Yongming Andrew","rownames"
"Yongming Andrew","which"
"Yongming Andrew","sort"
"Yongming Andrew","unique"
"Yongming Andrew","rep"
"Yongming Andrew","rowMeans"
"Yongming Andrew","seq"
"Yongming Andrew","log2"
"Yongming Andrew","max"
"Yongming Andrew","mean"
"Yongming Andrew","min"
"Yongming Andrew","names"
"Yongming Andrew","order"
"Yongming Andrew","paste"
"Yongming Andrew","print"
"Yongming Andrew","rev"
"Yongming Andrew","sub"
"Yongming Andrew","sum"
"Yongming Andrew","t"
"Yongming Andrew","as"
"Yongming Andrew","new"
"Yongming Andrew","savejpg"
"Yongming Andrew","snSummary"
"Yongming Andrew","tkentry"
"Yongming Andrew","tkframe"
"Yongming Andrew","tkget"
"Yongming Andrew","tkgetOpenFile"
"Yongming Andrew","tkgrid"
"Yongming Andrew","tkinsert"
"Yongming Andrew","tklabel"
"Yongming Andrew","tklistbox"
"Yongming Andrew","tkpack"
"Yongming Andrew","tkradiobutton"
"Yongming Andrew","tkscrollbar"
